"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
0.61435,0.67463,1.00467,0.17165,0.52009,0.67834,0.6561,0.68401,1.33406,1.85949,0.7323,0.23316,0.83244,0.84243,0.67673,0.83171,0.91485,0.45387,0.376,0.52956,0.60958
0.50331,0.6436,0.81343,0.18067,0.52027,0.5607,0.49478,0.5619,0.93639,1.44154,0.61436,0.15186,0.77272,0.68817,0.63398,0.91317,0.9706,0.1855,0.27112,0.43314,0.67139
0.86792,0.64606,1.19342,0.18733,0.65398,0.73506,0.51483,0.6909,0.94144,1.60762,0.78182,0.27539,0.82495,0.68816,0.93372,0.81991,1.12926,0.40591,0.46604,0.58149,0.53201
0.67211,0.88878,1.14508,0.20421,0.58794,0.92712,0.75796,0.86279,1.91248,3.84505,0.83869,0.2695,1.08753,0.86173,0.86954,1.03248,1.24875,0.36273,0.34007,0.63121,0.66784
0.66491,0.7114,1.06183,0.18147,0.62816,0.88663,0.72367,1.22057,1.895,3.73438,0.86701,0.4376,0.82003,0.73744,0.75818,0.94206,1.06937,1.09983,0.44066,0.51076,0.60677
0.55585,0.69262,0.8827,0.19047,0.45695,0.65103,0.49464,0.73059,1.49218,1.7586,0.6255,0.2823,0.64996,0.62261,0.66617,0.89018,0.96578,0.45039,0.30668,0.42817,0.56046
0.65116,0.66795,0.85811,0.18375,0.47968,0.69807,0.36085,0.65467,0.6719,0.99148,0.70185,0.18262,0.95426,0.8136,0.76345,0.97439,1.01861,0.22947,0.38607,0.49791,0.64373
0.41217,0.54056,0.63449,0.18954,0.39338,0.63494,0.32686,0.58352,0.52065,0.81239,0.56551,0.12584,0.68554,0.72067,0.48602,0.73845,0.68115,0.21627,0.28784,0.43789,0.57028
0.51344,0.51309,0.68839,0.17379,0.4313,0.58405,0.30954,0.54692,0.44611,0.72157,0.59612,0.11048,0.62868,0.63225,0.62345,0.71148,0.75649,0.17542,0.32974,0.42445,0.5299
0.5626,0.57348,0.76912,0.16688,0.44996,0.54878,0.34516,0.53663,0.46905,0.68854,0.63372,0.13684,0.61435,0.62772,0.63536,0.6202,0.67271,0.16083,0.36068,0.49632,0.54959
0.50588,0.68649,0.76654,0.19574,0.44016,0.60084,0.36532,0.68808,0.70738,1.14064,0.5727,0.1649,0.88288,0.76574,0.65817,1.01869,1.00684,0.21922,0.35143,0.47017,0.79818
0.52159,0.68023,0.83831,0.19833,0.47889,0.66313,0.34847,0.63302,0.59193,0.95426,0.71899,0.0989,0.57842,0.51644,0.58011,0.75113,0.76828,0.14619,0.30235,0.44715,0.49589
0.47301,0.65865,0.83416,0.17994,0.40099,0.76864,0.5659,0.82735,0.93635,1.34993,0.68527,0.53402,0.58451,0.67456,0.51301,0.67262,0.73261,0.78107,0.29088,0.38763,0.50042
0.73096,0.96302,1.13723,0.20621,0.7235,1.00478,1.35282,1.23744,2.78947,3.15937,0.90189,3.58833,1.05136,0.8627,0.79278,1.01532,1.19311,5.79934,0.43629,0.56736,0.76147
0.69955,0.69243,0.99767,0.18351,0.6126,0.7596,0.84383,1.02736,1.3626,2.36787,0.70754,1.23556,0.81395,0.74831,0.76768,0.86429,1.0395,3.91574,0.44769,0.55623,0.64338
0.9631,1.16733,1.49101,0.2869,0.67387,1.21219,1.12829,1.67228,2.32182,4.68464,0.95242,2.04706,1.18823,0.98273,1.06828,1.25528,1.52855,7.83538,0.47349,0.66837,0.80864
1.06301,1.44011,1.77295,0.19962,0.86393,1.56053,1.15679,2.04725,2.53276,5.74854,1.24536,2.0014,1.32275,0.94229,1.15377,1.59169,1.76634,9.18648,0.5263,0.73429,1.01009
0.9212,0.8468,1.13553,0.1908,0.8995,0.83766,1.18081,0.86273,2.28432,1.90595,0.91101,0.89563,0.94725,0.82594,0.77489,1.02998,1.19204,0.58318,0.49048,0.52419,0.7124
0.67865,1.03251,1.18376,0.19938,0.58592,1.20775,0.97748,1.25879,1.93743,3.12603,0.91024,1.11202,0.89484,0.87388,0.80069,1.07592,1.19065,2.03272,0.42029,0.55458,0.76467
0.81521,1.01561,1.31163,0.19986,0.78411,1.1423,0.90585,0.93258,1.88656,3.07884,1.05074,0.75241,0.93925,0.84985,0.76797,0.98618,1.20418,0.74823,0.419,0.55681,0.65274
0.64552,0.84187,1.03555,0.18139,0.67005,0.92457,0.72583,0.81618,1.76156,2.61457,0.88666,0.34139,0.75502,0.69059,0.69857,0.92773,0.92897,0.39972,0.35232,0.46982,0.5853
0.53812,0.67291,0.85958,0.19162,0.50139,0.74222,0.44536,0.79966,0.80739,1.74686,0.76253,0.13305,0.54446,0.616,0.53883,0.68048,0.78191,0.35775,0.33221,0.41441,0.56454
