"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
1.02514,1.02082,1.05809,0.11531,0.6695,0.97756,0.59878,0.91127,0.67979,0.96418,1.07352,0.301,1.06214,1.08196,1.34436,1.37332,1.2865,0.51358,0.52007,0.61064,0.6549,0.73681
1.22856,1.16852,1.40761,0.11134,0.72285,0.86103,0.56465,0.67971,0.77469,0.87872,1.12901,0.2527,1.26733,1.17797,1.21095,1.55227,1.3262,0.31169,0.45467,0.52428,0.66485,0.71302
1.09158,1.28215,1.25556,0.1091,0.77977,1.15696,0.77393,1.00131,0.90292,1.21802,1.30525,1.20354,1.02435,0.94867,1.10365,1.22489,1.3023,0.7118,0.50444,0.52223,0.54886,0.67881
1.47129,1.36096,1.76583,0.11666,0.96377,1.16412,0.7713,1.04449,1.05413,1.27906,1.47776,0.60571,1.52126,1.24722,1.40641,1.49526,1.65264,0.59045,0.61655,0.62891,0.90021,0.79855
2.07908,1.49901,2.04019,0.10851,1.65772,1.26438,0.97209,0.91511,1.34679,1.39668,2.11115,0.5981,1.79854,1.37648,1.72595,2.21983,1.7545,0.43883,0.68251,0.69513,1.29363,1.05146
1.75312,1.35045,1.516,0.10496,1.07195,1.13331,0.64873,0.71466,0.88202,1.17454,1.60807,0.33716,0.96994,0.91956,1.48362,1.53332,1.38716,0.34717,0.5704,0.63073,0.70903,0.98768
1.54432,1.39438,1.2887,0.11136,1.10485,1.17647,0.725,0.94425,0.9678,1.14725,1.37902,0.38128,1.32043,0.92562,1.69553,1.3946,1.26722,0.40019,0.70348,0.5918,0.86904,0.70119
1.28224,1.03962,1.44031,0.12082,0.84499,0.95226,0.61468,0.8037,0.8332,1.01765,1.16556,0.35086,0.9376,0.92206,1.20218,1.09126,1.21656,0.43787,0.63079,0.48711,0.87263,0.55074
1.51159,1.48016,1.72574,0.1391,1.19337,1.2276,0.66515,0.83196,1.09122,1.14085,1.54085,0.37281,1.20054,1.28979,1.24666,1.78369,1.66195,0.3825,0.60953,0.65492,1.42122,0.87676
1.21899,1.13943,1.31788,0.1199,0.71749,0.92548,0.5056,0.68957,0.60334,0.7699,0.99332,0.24741,1.33424,1.03816,1.16831,1.26731,1.40606,0.32243,0.47359,0.53563,0.79834,0.7297
1.12199,0.90041,1.2499,0.10719,0.67806,0.68417,0.49966,0.59471,0.66057,0.74762,0.94757,0.26562,1.2713,1.13086,1.0922,1.13083,1.42122,0.2753,0.52544,0.43316,0.62019,0.5766
1.35616,1.12822,1.39916,0.10353,0.88023,1.32989,0.59926,0.92864,0.72543,0.91267,1.22228,0.34126,1.72787,1.24127,1.22627,1.4566,1.3984,0.43073,0.50032,0.6912,0.60371,0.79884
0.99032,0.99748,1.1451,0.10401,0.73344,0.82041,0.51797,0.6307,0.65349,0.79446,0.99307,0.3116,1.15119,1.12535,1.02318,1.26181,1.38722,0.38113,0.47318,0.58133,0.66288,0.88916
1.52373,1.48757,1.87679,0.12831,1.59579,1.66434,0.79949,0.97567,1.13358,1.32309,1.68381,0.47069,1.90631,1.33353,1.80329,1.54254,2.02941,0.54291,0.7354,0.64088,1.51387,0.78392
2.0244,1.18037,1.38095,0.1056,0.94923,1.12245,0.63478,0.79726,1.10579,1.3069,1.28495,0.3908,1.03517,1.03061,1.4101,1.43342,1.24006,0.50809,0.68233,0.68746,0.69886,0.92636
1.21224,1.01811,1.41981,0.11224,0.86689,1.21137,0.63118,0.71556,1.01341,1.3814,1.39048,0.42965,0.91179,0.77285,1.07914,1.18846,1.37541,0.4783,0.52112,0.49494,0.51705,0.659
0.84026,1.04048,1.11785,0.12055,0.62829,1.0109,0.6416,0.88808,0.68788,0.9466,1.06565,0.35769,0.79205,0.69288,0.91107,1.16591,1.00511,0.58523,0.58815,0.70677,0.87306,0.64459
1.80936,1.48104,2.10074,0.17422,2.11691,1.73738,1.00506,0.94232,1.80312,1.37882,2.62804,0.4423,1.45655,1.30467,1.45951,1.37534,1.72616,0.45925,0.61013,0.66667,1.21184,0.78239
2.07914,1.90328,2.08813,0.26089,1.53427,2.00058,0.90284,1.29147,1.41549,1.69056,2.60494,0.53051,2.35357,1.97034,3.33994,3.08142,3.25575,0.63537,1.13773,0.95177,2.04315,1.52786
1.9123,1.23516,1.71939,0.1785,1.50554,1.32701,0.96436,0.89475,1.21886,1.37432,1.8053,0.48861,2.03897,1.43387,1.83957,1.68076,1.92232,0.50649,0.85068,0.652,0.94928,0.94062
1.41883,1.0429,1.19461,0.12047,0.71286,0.76189,0.53255,0.56147,0.61799,0.78147,0.98108,0.27103,1.15744,0.76241,1.76287,1.08762,1.43957,0.40034,0.61113,0.43293,0.79484,0.5083
1.55611,1.88381,1.95468,0.11744,1.36561,1.67748,0.75149,0.81026,1.08789,1.20782,1.56668,0.39686,1.29238,0.94583,1.57268,1.6489,1.55664,0.42,0.53481,0.61647,0.81405,0.68777
